,Manufacturer,Category,Screen Size,Screen,RAM,Operating System,Operating System Version,Weight,Price,Core,Generation,Freq,AMD,Intel,Samsung
234,7,gaming,17.3,1920x1080,16,Windows,10,2.43kg,17330419.08,i7,6700HQ,2.6GHz,False,True,False
235,3,2 in 1 convertible,15.6,1920x1080,8,Windows,10,2.191kg,8883108.0,i5,7200U,2.5GHz,False,True,False
236,2,gaming,17.3,1920x1080,16,Windows,10,2.9kg,17330508.0,i7,7700HQ,2.8GHz,False,True,False
237,6,netbook,11.6,1366x768,2,Chrome OS,,1.3kg,1547208.0,Core,3205U,1.5GHz,False,True,False
238,6,notebook,17.3,1600x900,4,Windows,10,3.3kg,5317416.0,i3,6006U,2GHz,False,True,False
239,12,notebook,17.3,1600x900,8,Windows,,2.8kg,4792788.0,i5,7200U,2.5GHz,False,True,False
240,12,gaming,15.6,1920x1080,8,Windows,10,2.6kg,11310624.0,i7,6700HQ,2.6GHz,False,True,False
241,6,2 in 1 convertible,14.0,1920x1080,8,Windows,10,1.2kg,10216908.0,i7,7Y75,1.3GHz,False,True,False
242,12,notebook,15.6,1920x1080,8,Windows,10,2.3kg,13595868.0,i7,6600U,2.6GHz,False,True,False
243,7,gaming,15.6,1920x1080,8,Windows,10,2.2kg,13125570.12,i7,6700HQ,2.6GHz,False,True,False
244,1,notebook,15.6,1920x1080,6,Windows,10,2.1kg,4703868.0,A12-Series,9720P,2.7GHz,True,False,False
245,3,ultrabook,12.5,1920x1080,8,Windows,7,1.26kg,15235286.04,i5,6300U,2.4GHz,False,True,False
246,3,2 in 1 convertible,15.0,1920x1080,4,Windows,10,2.08kg,4526028.0,i3,7100U,2.4GHz,False,True,False
247,2,notebook,15.6,1366x768,4,Windows,10,2.65kg,2747628.0,Core,N3710,1.6GHz,False,True,False
248,3,ultrabook,13.3,3200x1800,8,Windows,10,1.29kg,13133484.0,i7,7500U,2.7GHz,False,True,False
249,3,notebook,15.6,1366x768,4,Linux,,2.18kg,4640379.12,i5,7200U,2.5GHz,False,True,False
250,12,gaming,15.6,1920x1080,16,Windows,10,2.6kg,9149868.0,i7,6700HQ,2.6GHz,False,True,False
251,7,gaming,15.6,1920x1080,8,Windows,10,2.2kg,10216908.0,i7,7700HQ,2.8GHz,False,True,False
252,12,netbook,12.5,1920x1080,16,Windows,10,1.3kg,14671800.0,i7,6500U,2.50GHz,False,True,False
253,10,gaming,14.0,1920x1080,16,Windows,10,1.95kg,31113108.0,i7,7700HQ,2.8GHz,False,True,False
254,3,notebook,15.6,1366x768,8,Windows,10,2.3kg,4170436.92,i3,7100U,2.4GHz,False,True,False
255,7,gaming,17.3,1920x1080,16,Windows,10,2.7kg,14209416.0,i7,7700HQ,2.8GHz,False,True,False
256,9,ultrabook,11.6,1366x768,4,Mac OS,X,1.08kg,8527428.0,Core,i5,1.6GHz,False,True,False
257,1,notebook,15.6,1920x1080,4,Windows,10,2.1kg,4250376.0,i3,6006U,2GHz,False,True,False
258,1,ultrabook,14.0,2560x1440,8,Windows,7,1.54kg,19546305.48,i7,6500U,2.5GHz,False,True,False
259,3,notebook,15.6,1366x768,4,Windows,7,2.24kg,6553404.0,i5,6200U,2.3GHz,False,True,False
260,7,gaming,15.6,1920x1080,8,Windows,10,2.3kg,10394748.0,i7,6700HQ,2.6GHz,False,True,False
261,12,notebook,13.3,1920x1080,16,Windows,10,1.4kg,13329108.0,i7,7500U,2.7GHz,False,True,False
262,12,notebook,15.6,1920x1080,6,Windows,10,2.2kg,5313592.44,A12-Series,9720P,3.6GHz,True,False,False
263,2,ultrabook,13.3,1920x1080,8,Windows,10,1.45kg,11381760.0,i7,6500U,2.5GHz,False,True,False
264,6,notebook,15.6,1366x768,4,Linux,,2.4kg,3217125.6,i3,6006U,2.0GHz,False,True,False
265,3,2 in 1 convertible,17.3,1920x1080,16,Windows,10,2.77kg,15996708.0,i7,7500U,2.7GHz,False,True,False
266,1,notebook,14.0,1920x1080,4,Windows,7,1.54kg,9781111.08,i5,6200U,2.3GHz,False,True,False
267,2,gaming,15.6,1920x1080,16,Windows,10,2.5kg,14227200.0,i7,7700HQ,2.8GHz,False,True,False
268,3,notebook,14.0,1366x768,4,Windows,10,1.6kg,7780500.0,i5,7200U,2.5GHz,False,True,False
269,2,gaming,15.6,1920x1080,16,Windows,10,2.34kg,20673900.0,i7,6700HQ,2.6GHz,False,True,False
270,12,notebook,15.6,1920x1080,8,Windows,,2.3kg,5095116.0,i5,7200U,2.5GHz,False,True,False
271,3,2 in 1 convertible,13.3,3200x1800,8,Windows,10,1.24kg,16121196.0,i5,7Y54,1.2GHz,False,True,False
272,3,notebook,15.6,1366x768,4,Linux,,2.2kg,2881008.0,Core,N3710,1.6GHz,False,True,False
273,1,notebook,15.6,1366x768,4,Windows,10,1.86kg,3547908.0,A6-Series,9220,2.5GHz,True,False,False
274,12,notebook,15.6,1920x1080,6,Windows,10,2.4kg,5059548.0,i3,6100U,2.3GHz,False,True,False
275,12,notebook,14.0,1920x1080,8,Windows,10,1.9kg,9532224.0,i5,6200U,2.3GHz,False,True,False
276,3,notebook,15.6,1366x768,4,Windows,10,2.2kg,3947959.08,Core,N3700,1.6GHz,False,True,False
277,2,notebook,15.6,1366x768,4,Windows,10,2kg,3014388.0,Core,N3350,1.1GHz,False,True,False
278,2,gaming,17.3,1920x1080,16,Windows,10,4.0kg,16894800.0,i7,6700HQ,2.6GHz,False,True,False
279,3,notebook,15.6,1366x768,4,Windows,10,2.29kg,4357080.0,i3,6006U,2GHz,False,True,False
280,12,notebook,15.6,1920x1080,8,Windows,7,2.32kg,7958340.0,i7,6500U,2.5GHz,False,True,False
281,7,gaming,15.6,1920x1080,8,Windows,10,2.4kg,10928268.0,i7,6700HQ,2.6GHz,False,True,False
282,12,2 in 1 convertible,14.0,1920x1080,4,Windows,10,1.8kg,7407124.92,i5,6200U,2.3GHz,False,True,False
283,2,ultrabook,13.3,1920x1080,8,Windows,10,1.2kg,6482268.0,M,6Y30,0.9GHz,False,True,False
284,3,notebook,15.6,1366x768,6,Windows,10,2.3kg,4081428.0,i3,7100U,2.4GHz,False,True,False
285,6,notebook,15.6,1366x768,4,Linux,,2.4kg,2569788.0,Core,N3060,1.6GHz,False,True,False
286,3,notebook,15.6,1366x768,2,Windows,10,2.20kg,3370068.0,Core,N3050,1.6GHz,False,True,False
287,12,notebook,15.6,1920x1080,8,Windows,10,2.6kg,7993908.0,i7,6700HQ,2.6GHz,False,True,False
288,1,notebook,15.6,1920x1080,6,Windows,10,2.04kg,4890511.08,A9-Series,9410,2.9GHz,True,False,False
289,3,notebook,15.6,1366x768,8,Linux,,2.3kg,7166863.08,i7,7500U,2.7GHz,False,True,False
290,1,netbook,11.6,1366x768,2,Windows,10,1.17kg,1858428.0,Core,N3060,1.6GHz,False,True,False
291,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,6405085.44,i7,6500U,2.5GHz,False,True,False
292,12,2 in 1 convertible,14.0,1920x1080,4,Windows,10,1.8kg,5673096.0,i7,6500U,2.5GHz,False,True,False
293,12,2 in 1 convertible,13.3,3200x1800,16,Windows,10,1.3kg,13329108.0,i7,6500U,2.5GHz,False,True,False
294,12,notebook,14.0,1366x768,2,Windows,10,1.5kg,2036268.0,Core,N3050,1.6GHz,False,True,False
295,1,notebook,15.6,1366x768,6,Windows,10,2.19kg,6793488.0,i7,6500U,2.5GHz,False,True,False
296,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,3281148.0,Core,N3050,1.6GHz,False,True,False
297,2,ultrabook,13.3,1920x1080,8,Windows,10,1.2kg,6482268.0,M,6Y30,0.9GHz,False,True,False
298,3,notebook,15.6,1366x768,6,Windows,10,2.3kg,4081428.0,i3,7100U,2.4GHz,False,True,False
299,6,notebook,15.6,1366x768,4,Linux,,2.4kg,2569788.0,Core,N3060,1.6GHz,False,True,False
300,3,notebook,15.6,1366x768,2,Windows,10,2.20kg,3370068.0,Core,N3050,1.6GHz,False,True,False
301,12,notebook,15.6,1920x1080,8,Windows,10,2.6kg,7993908.0,i7,6700HQ,2.6GHz,False,True,False
302,1,notebook,15.6,1920x1080,6,Windows,10,2.04kg,4890511.08,A9-Series,9410,2.9GHz,True,False,False
303,3,notebook,15.6,1366x768,8,Linux,,2.3kg,7166863.08,i7,7500U,2.7GHz,False,True,False
304,1,netbook,11.6,1366x768,2,Windows,10,1.17kg,1858428.0,Core,N3060,1.6GHz,False,True,False
305,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,6405085.44,i7,6500U,2.5GHz,False,True,False
306,12,2 in 1 convertible,14.0,1920x1080,4,Windows,10,1.8kg,5673096.0,i7,6500U,2.5GHz,False,True,False
307,12,2 in 1 convertible,13.3,3200x1800,16,Windows,10,1.3kg,13329108.0,i7,6500U,2.5GHz,False,True,False
308,12,notebook,14.0,1366x768,2,Windows,10,1.5kg,2036268.0,Core,N3050,1.6GHz,False,True,False
309,1,notebook,15.6,1366x768,6,Windows,10,2.19kg,6793488.0,i7,6500U,2.5GHz,False,True,False
310,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,3281148.0,Core,N3050,1.6GHz,False,True,False
311,2,ultrabook,13.3,1920x1080,8,Windows,10,1.2kg,6482268.0,M,6Y30,0.9GHz,False,True,False
312,3,notebook,15.6,1366x768,6,Windows,10,2.3kg,4081428.0,i3,7100U,2.4GHz,False,True,False
313,6,notebook,15.6,1366x768,4,Linux,,2.4kg,2569788.0,Core,N3060,1.6GHz,False,True,False
314,3,notebook,15.6,1366x768,2,Windows,10,2.20kg,3370068.0,Core,N3050,1.6GHz,False,True,False
315,12,notebook,15.6,1920x1080,8,Windows,10,2.6kg,7993908.0,i7,6700HQ,2.6GHz,False,True,False
316,1,notebook,15.6,1920x1080,6,Windows,10,2.04kg,4890511.08,A9-Series,9410,2.9GHz,True,False,False
317,3,notebook,15.6,1366x768,8,Linux,,2.3kg,7166863.08,i7,7500U,2.7GHz,False,True,False
318,1,netbook,11.6,1366x768,2,Windows,10,1.17kg,1858428.0,Core,N3060,1.6GHz,False,True,False
319,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,6405085.44,i7,6500U,2.5GHz,False,True,False
320,12,2 in 1 convertible,14.0,1920x1080,4,Windows,10,1.8kg,5673096.0,i7,6500U,2.5GHz,False,True,False
321,12,2 in 1 convertible,13.3,3200x1800,16,Windows,10,1.3kg,13329108.0,i7,6500U,2.5GHz,False,True,False
322,12,notebook,14.0,1366x768,2,Windows,10,1.5kg,2036268.0,Core,N3050,1.6GHz,False,True,False
323,1,notebook,15.6,1366x768,6,Windows,10,2.19kg,6793488.0,i7,6500U,2.5GHz,False,True,False
324,2,notebook,15.6,1366x768,4,Windows,10,2.2kg,3281148.0,Core,N3050,1.6GHz,False,True,False
